site,city,capacity_m3d,process,ER_mean_kg_h,n_periods,tier
N019,Nanjing,1000,Other,0.200,1,III
N009,Nanjing,5000,AAO,1.733,3,III
Z002,Zibo,5000,AO,0.600,1,III
N020,Nanjing,8000,AAO,19.400,1,III
S002,Shenyang,10000,AAO,1.100,1,III
G011,Guangzhou,10000,AAO,1.400,1,III
G012,Guangzhou,10000,AAO,1.100,1,III
G019,Guangzhou,10000,AAO-MBR,4.300,1,III
S001,Shenyang,20000,AAO-MBR,0.500,1,II
S005,Shenyang,20000,AAO,0.800,1,II
S010,Shenyang,20000,BAF,0.400,1,II
S021,Shenyang,20000,AAO,5.300,1,II
Z007,Zibo,20000,OD,1.400,1,II
Z012,Zibo,20000,OD,1.400,1,II
G004,Guangzhou,20000,Other,1.300,1,II
G010,Guangzhou,20000,OD,4.100,1,II
G017,Guangzhou,20000,Other,11.600,1,II
G023,Guangzhou,20000,AAO,1.100,1,II
X007,Xi'an,25000,AAO-MBR,4.400,1,II
N001,Nanjing,30000,AAO-MBR,2.967,3,II
S018,Shenyang,30000,AO,0.500,1,II
Z004,Zibo,30000,AAO,1.600,1,II
X004,Xi'an,40000,AAO,12.100,1,II
G008,Guangzhou,40000,AO,13.800,1,II
G009,Guangzhou,40000,Other,3.600,1,II
X014,Xi'an,45000,Other,3.300,1,II
N022,Nanjing,50000,OD,7.100,1,I
S006,Shenyang,50000,AAO,2.300,1,I
S007,Shenyang,50000,AAO,4.300,1,I
S013,Shenyang,50000,AAO,3.100,1,I
S014,Shenyang,50000,AAO,3.600,1,I
S017,Shenyang,50000,AAO,0.700,1,I
Z001,Zibo,50000,AAO,2.200,1,I
Z010,Zibo,50000,AO,4.000,1,I
X006,Xi'an,50000,Other,12.700,1,I
X016,Xi'an,50000,OD,23.600,1,I
X021,Xi'an,50000,AAO,13.000,1,I
G005,Guangzhou,50000,Other,3.000,1,I
G013,Guangzhou,50000,AAO-MBR,1.200,1,I
G015,Guangzhou,50000,Other,0.900,1,I
G021,Guangzhou,50000,AAO,3.400,1,I
N003,Nanjing,60000,OD,5.333,3,I
Z005,Zibo,60000,BAF,9.800,1,I
Z011,Zibo,60000,AAO,5.000,1,I
X005,Xi'an,60000,AAO-MBR,6.700,1,I
G001,Guangzhou,60000,AAO,4.600,1,I
N002,Nanjing,70000,AAO,3.033,3,I
S009,Shenyang,70000,AO,14.200,1,I
G002,Guangzhou,70000,AO,5.200,1,I
G014,Guangzhou,70000,AAO,1.400,1,I
G016,Guangzhou,70000,Other,4.000,1,I
Z013,Zibo,75000,AO,4.000,1,I
N012,Nanjing,80000,AAO,6.600,3,I
N014,Nanjing,80000,Other,4.700,1,I
N021,Nanjing,80000,AAO-MBR,9.300,1,I
S003,Shenyang,80000,Other,2.600,1,I
S020,Shenyang,80000,AAO,16.000,1,I
Z006,Zibo,80000,OD,2.300,1,I
X011,Xi'an,80000,OD,6.600,1,I
X017,Xi'an,80000,Other,25.800,1,I
G007,Guangzhou,80000,AAO,6.300,1,I
N018,Nanjing,85000,AAO,8.600,1,I
N004,Nanjing,90000,AAO,7.033,3,I
N015,Nanjing,90000,Other,15.600,1,I
N017,Nanjing,95000,AO,7.300,1,I
N010,Nanjing,100000,AAO-MBR,2.133,3,I
N016,Nanjing,100000,AAO,6.400,1,I
Z008,Zibo,100000,AAO,5.200,1,I
X008,Xi'an,100000,AO,7.200,1,I
X012,Xi'an,100000,AAO,8.500,1,I
X013,Xi'an,100000,AAO,9.100,1,I
X015,Xi'an,100000,AAO-MBR,41.100,1,I
X018,Xi'an,100000,OD,13.100,1,I
X023,Xi'an,100000,AAO-MBR,41.700,1,I
Z003,Zibo,120000,AAO,11.400,1,I
G018,Guangzhou,120000,AAO-MBR,1.700,1,I
G025,Guangzhou,120000,AAO,5.500,1,I
G022,Guangzhou,130000,AAO,8.000,1,I
G024,Guangzhou,130000,AAO-MBR,3.900,1,I
S008,Shenyang,150000,Other,8.500,1,I
S016,Shenyang,150000,Other,14.000,1,I
X002,Xi'an,150000,OD,37.000,1,I
G003,Guangzhou,180000,AAO,7.900,1,I
N005,Nanjing,200000,AAO,9.733,3,I
N011,Nanjing,200000,AAO,8.400,3,I
S004,Shenyang,200000,AAO-MBR,3.800,1,I
X001,Xi'an,200000,AAO,16.200,1,I
X003,Xi'an,200000,AAO,3.900,1,I
X020,Xi'an,200000,AO,17.600,1,I
G020,Guangzhou,220000,AAO,9.100,1,I
N006,Nanjing,240000,AAO,4.567,3,I
S015,Shenyang,250000,AAO,6.200,1,I
Z009,Zibo,250000,AO,11.700,1,I
X019,Xi'an,260000,AAO-MBR,18.200,1,I
G006,Guangzhou,280000,AAO,11.800,1,I
N007,Nanjing,300000,AAO-MBR,12.200,3,I
N008,Nanjing,300000,BAF,7.200,3,I
X009,Xi'an,300000,AAO-MBR,28.500,1,I
S011,Shenyang,400000,BAF,5.300,1,I
S019,Shenyang,400000,AAO,10.200,1,I
X010,Xi'an,400000,AAO,25.100,1,I
X022,Xi'an,500000,AAO,73.900,1,I
G026,Guangzhou,600000,AAO,26.000,1,I
N013,Nanjing,670000,AAO,22.038,13,I
S012,Shenyang,1000000,AAO,31.900,1,I
