prov,ch4_1e8_m3_yr
Shan Dong,0.98975151881375
Guang Dong,0.8335500902729
He Bei,0.5973285916675001
He Nan,0.5413729138125
Jiang Su,0.524645221821875
Bei Jing,0.51972507831475
Shang Hai,0.441249202625
Liao Ning,0.434782242125
Zhe Jiang,0.32250375080000004
Hu Nan,0.25171397570549997
Shan Xi,0.24520143943487502
An Hui,0.21824811277500003
Hei Long Jiang,0.167341189015
Fu Jian,0.156291149678125
Yun Nan,0.152340486038125
Xin Jiang,0.14749121069375
Tian Jin,0.13868555585499998
Ji Lin,0.12775457983749997
Chong Qing,0.10657458157500001
Gui Zhou,0.08983724605625
Jiang Xi,0.084071375320625
Shaan Xi,0.08362010387499999
Si Chuan,0.03591167666625
Hai Nan,0.035699583688999996
Ning Xia,0.0234366892375
Qing Hai,0.0227169201875
Guang Xi,0.01984237591875
Nei Meng Gu,0.005282334749999998
Xi Zang,0.0030488304
