capacity_1e4_m3_d,CH4_1e4_m3_yr,tier
100.0,927.465,I
60.0,704.8734000000001,I
40.0,491.27539999999993,I
15.0,164.09806875,I
8.0,80.526446,I
20.0,180.012525,I
10.0,123.7322625,I
4.0,51.26352,II
0.36,0.835477335,III
2.0,9.330860000000001,II
2.0,7.72184875,II
1.0,3.76466475,III
0.4,2.19219,III
2.0,11.000297,II
13.0,125.22885375000001,I
4.5,27.792331875000002,II
3.0,25.737153749999997,II
0.5,8.904366625,III
0.1,1.3086390625000002,III
0.2,1.534533,III
4.0,32.06780500000001,II
4.0,28.32984,II
55.0,579.6656250000001,I
45.0,274.44532499999997,I
45.0,548.8906499999999,I
40.0,636.2972000000001,I
10.0,148.95650000000003,I
20.0,170.87840000000003,I
4.0,44.560477500000005,II
3.0,24.535665,II
3.0,27.739634999999996,II
6.0,35.85495375,I
5.0,32.46127499999999,I
1.0,12.3662,III
3.0,23.945459999999997,II
7.0,48.790279999999996,I
3.7,27.660941000000005,II
1.0,4.77925525,III
10.0,87.57518,I
5.0,21.95703125,I
0.2,1.658195,III
3.0,29.088675,II
3.0,12.394305000000001,II
2.0,5.902050000000001,II
1.0,0.9878907499999999,III
1.0,3.20397,III
0.5,1.0679900000000002,III
3.0,6.492255,II
1.0,2.164085,III
1.0,6.857620000000002,III
3.0,7.335405000000001,II
0.4,2.9049328000000005,III
3.0,11.804100000000002,II
55.0,273.21573125,I
45.0,242.82719999999995,I
40.0,215.8464,I
16.0,111.97032000000002,I
20.0,157.95010000000002,I
3.0,7.925610000000001,II
5.0,52.55635,I
10.0,48.34060000000001,I
10.0,77.95624375000001,I
60.0,684.6378,I
5.0,33.585475,I
2.0,5.452369999999999,II
6.0,37.47801750000001,I
10.0,98.3675,I
2.0,14.50218,II
5.0,22.765050000000002,I
10.0,109.43384375,I
3.0,34.56914999999999,II
3.0,11.804100000000002,II
4.0,20.446387500000004,II
10.0,111.01475,I
12.0,141.31194,I
2.5,18.075028125000003,II
2.0,21.022540000000003,II
8.0,27.346164999999996,I
5.0,15.45775,I
1.0,3.65365,III
4.0,36.536500000000004,II
12.0,141.6492,I
7.0,35.80577,I
7.0,47.683645625000004,I
4.0,19.884287500000003,II
15.0,168.20842500000003,I
16.0,214.49736000000001,I
15.0,126.525196875,I
5.0,38.11740625,I
8.0,98.9296,I
5.0,24.345956250000004,I
4.0,10.79232,II
11.3,165.780153,I
4.0,10.820425000000002,II
2.0,5.8036825,II
2.0,9.344912500000001,II
8.0,40.133939999999996,I
8.0,17.987199999999998,I
8.0,75.32140000000001,I
3.0,19.464117750000003,II
4.0,21.58464,II
0.5,2.3362281250000003,III
1.0,7.588349999999998,III
5.0,48.593545,I
1.3,8.746838100000002,III
8.0,68.716725,I
5.0,35.570390624999995,I
16.0,182.12040000000002,I
4.0,23.068584,II
4.0,28.728931,II
4.0,23.068584,II
2.0,9.6653095,II
3.0,6.270928125,II
4.0,25.74418,II
10.0,93.02755,I
6.0,31.02792,I
2.5,13.771449999999998,II
2.0,12.422410000000001,II
2.0,10.567479999999998,II
5.0,21.781375,I
4.0,22.961785,II
10.0,34.56914999999999,I
1.5,6.1128375,III
10.0,58.17735,I
5.0,43.78759,I
2.0,12.928300000000002,II
5.0,28.38605,I
5.0,37.379650000000005,I
6.0,31.575967499999997,I
10.0,89.76034375,I
10.0,67.97896874999999,I
3.3,9.1007503125,II
1.5,8.76876,III
6.6,48.042687,I
2.0,12.5488825,II
6.0,15.176699999999997,I
3.0,17.959095,II
4.0,12.141359999999999,II
4.0,22.534588999999997,II
4.0,46.884761000000005,II
2.0,12.869279499999998,II
6.0,58.85187,I
3.0,27.075654374999996,II
4.0,42.71960000000001,II
5.0,40.049625,I
5.0,49.394537500000006,I
3.0,21.911360624999997,II
2.0,15.28912,II
1.6,11.331936,III
1.0,8.178555000000001,III
1.5,10.493001750000001,III
3.0,19.550540625,II
2.0,14.90267625,II
1.8,6.374214,III
1.5,9.291513000000002,III
3.0,30.616884374999994,II
2.0,13.13206125,II
0.8,5.2117912,III
3.0,17.874779999999998,II
2.0,10.18103625,II
3.0,23.77683,II
2.0,14.78323,II
2.0,14.0525,II
1.5,8.347185000000001,III
2.0,12.81588,II
2.5,12.1554125,II
2.0,13.32879625,II
4.0,22.320991,II
5.0,39.838837500000004,I
4.0,18.7600875,II
4.0,16.033902500000003,II
4.0,17.20026,II
3.0,4.805955,II
4.0,25.4771825,II
5.0,7.992359375,I
3.0,16.947315,II
1.5,5.6491050000000005,III
2.0,3.737965,II
2.0,11.01716,II
2.0,8.431499999999998,II
0.25,2.1078749999999995,III
4.0,45.86736,II
3.0,26.727855000000005,II
1.2,11.837826000000002,III
1.25,5.779090625000001,III
1.5,6.1602646875,III
4.0,28.105,II
2.0,11.374093499999999,II
2.0,12.98451,II
3.0,16.90094175,II
1.0,9.615423125000001,III
1.0,4.131435,III
2.0,7.369130999999999,II
2.0,11.427493,II
2.0,10.9468975,II
3.0,18.296355,II
2.0,11.908088500000002,II
3.0,12.731565,II
2.0,8.37529,II
3.0,16.01985,II
3.0,10.033484999999999,II
3.0,13.996290000000002,II
2.0,7.1808274999999995,II
1.5,8.5579725,III
1.5,8.484196875,III
2.0,12.689407500000002,II
1.5,8.115318749999998,III
3.0,23.692515,II
2.0,16.91921,II
2.0,8.431499999999998,II
2.0,4.665430000000001,II
2.0,13.082877499999999,II
1.5,4.215749999999999,III
1.25,6.393887500000001,III
1.5,18.970875,III
2.0,11.01716,II
3.0,17.36889,II
3.0,14.90267625,II
2.0,5.958260000000001,II
2.0,13.830470500000002,II
2.0,10.306103499999999,II
3.0,11.435221875000002,II
2.0,11.213895,II
2.2,16.609352374999997,II
2.0,13.602820000000001,II
3.0,16.52574,II
3.0,16.778685,II
2.0,12.81588,II
2.5,15.879324999999998,II
3.0,15.271554375000001,II
3.0,16.5004455,II
3.0,17.284574999999997,II
3.0,15.8090625,II
2.5,15.369921875,II
3.0,15.851220000000001,II
3.0,18.549300000000002,II
3.0,13.456674000000001,II
3.0,13.648490625,II
16.0,168.18032000000002,I
4.0,31.674335,II
