prov,city,lon,lat,scale,proc,tier,ch4_d,ch4_y
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,4.9,OD,II,0.0,0.0
Guang Dong,Shao Guan,113.603527345622,24.815881278583,11.0,OD,I,0.0,0.0
Guang Dong,Shao Guan,113.603527345622,24.815881278583,3.25,OD,II,0.0,0.0
Yun Nan,Yu Xi,102.55356029311,24.3577109424462,1.0,SBR,III,0.0,0.0
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,1.0,SBR,III,0.0,0.0
He Nan,An Yang,114.399500421774,36.1059409840149,3.0,Others,II,0.0,0.0
He Nan,Zhu Ma Dian,114.028470781732,33.0178424167436,10.0,OD,I,0.0,0.0
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.5,OD,III,0.0,0.0
Guang Dong,Mei Zhou,116.129537376122,24.2941775322062,5.0,SBR,I,0.0,0.0
Fu Jian,Fu Zhou,119.30346983854,26.080429420698,1.0,OD,III,0.0,0.0
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,3.0,AAO,II,0.0,0.0
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.0,AAO,III,0.0,0.0
Guang Dong,Hui Zhou,114.423558016581,23.1163588547255,0.5,Others,III,0.0,0.0
Xin Jiang,Ke Zhou,76.174308676212,39.7204712048707,0.3,Others,III,0.0,0.0
Guang Dong,Chao Zhou,116.629470173628,23.6626231926158,6.0,AO,I,0.0,0.0
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.0,OD,III,0.0,0.0
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,2.0,SBR,II,0.0,0.0
Liao Ning,Shen Yang,123.471096644822,41.6838300691906,1.0,Others,III,0.0,0.0
An Hui,Bang Bu,117.395513328136,32.9215237043508,2.5,Others,II,0.0,0.0
An Hui,Huai Nan,117.006388850716,32.6318473990533,10.0,Others,I,0.0,0.0
Guang Dong,Shan Wei,115.38155260365,22.7912630365467,5.0,AAO,I,0.0,0.0
Guang Dong,Shan Wei,115.38155260365,22.7912630365467,4.0,AAO,II,0.0,0.0
Si Chuan,Liang Shan,102.27350268097,27.8877523003697,2.0,OD,II,0.0,0.0
Jiang Xi,Ping Xiang,113.893696554071,27.6647525479511,1.0,OD,III,0.0,0.0
An Hui,Ma An Shan,118.513579579431,31.6762655976091,2.0,Others,II,0.0,0.0
Yun Nan,Qu Jing,103.802434827946,25.4964069315436,2.0,OD,II,0.0,0.0
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,1.1,OD,III,0.22233749999999788,0.008115318749999923
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.0,AAO,III,0.5390000000000023,0.01967350000000008
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,0.5,OD,III,1.010625,0.0368878125
Fu Jian,San Ming,117.645521167821,26.2697365159918,0.05,AO,III,1.54,0.05621
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.0,Others,III,2.002000000000001,0.07307300000000004
Fu Jian,San Ming,117.645521167821,26.2697365159918,0.05,Others,III,2.2330000000000005,0.08150450000000002
Jiang Xi,Gan Zhou,114.940503372982,25.8351761034976,1.0,OD,III,2.492875000000002,0.09098993750000008
Jiang Xi,Gan Zhou,114.940503372982,25.8351761034976,0.75,OD,III,3.5371875,0.12910734375
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,0.3,Biofilm,III,3.5371875,0.12910734375
Fu Jian,Long Yan,117.023447566775,25.0812198448716,0.1,AAO,III,3.5420000000000007,0.129283
Guang Dong,Fo Shan,113.128512195497,23.0277587507889,0.1,AAO,III,3.773,0.1377145
Jiang Xi,Ji An,115.000510720012,27.1197268260704,1.0,OD,III,3.9751250000000042,0.14509206250000015
Hu Nan,Zhang Jia Jie,110.485532546954,29.1228155625518,0.3,SBR,III,4.30122,0.15699453
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.0,AO,III,4.774000000000003,0.1742510000000001
Jiang Su,Nan Jing,118.802421721245,32.0646528856184,3.5,OD,II,4.952062500000003,0.18075028125000012
Guang Dong,Zhu Hai,113.582554786549,22.2765646542492,0.1,Biofilm,III,6.208125,0.2265965625
Jiang Xi,Jiu Jiang,115.960661240304,29.6666608479994,1.0,OD,III,6.7375,0.24591875
Fu Jian,Nan Ping,118.087351025977,27.3891049878985,0.05,AAO,III,7.392000000000001,0.26980800000000005
Guang Dong,Fo Shan,113.128512195497,23.0277587507889,0.2,Others,III,7.546,0.275429
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.1,Biofilm,III,7.699999999999999,0.28104999999999997
Jiang Xi,Ying Tan,117.075575427027,28.2657870631914,0.5,OD,III,7.748125000000001,0.2828065625
Hai Nan,Dan Zhou,109.587455835686,19.5271461100441,0.5,OD,III,7.9839375,0.29141371875
Guang Xi,Bai Se,106.624589325653,23.9081859342959,0.5,SBR,III,8.0465,0.29369724999999997
Fu Jian,Long Yan,117.023447566775,25.0812198448716,0.2,Biofilm,III,8.2775,0.30212875
Guang Dong,Shao Guan,113.603527345622,24.815881278583,0.25,Others,III,8.662500000000001,0.31618125
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.15,Others,III,8.662500000000001,0.31618125
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.0,OD,III,8.691375000000004,0.3172351875000002
Jiang Xi,Ji An,115.000510720012,27.1197268260704,0.5,OD,III,8.893500000000001,0.32461275000000006
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.3,AO,III,9.24,0.33726
Guang Dong,Hui Zhou,114.423558016581,23.1163588547255,1.0,AAO,III,9.317,0.3400705
Shang Hai,Shang Hai,121.480538860176,31.235929042252,0.2,AO,III,9.548000000000002,0.34850200000000003
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,0.13,Biofilm,III,9.884875000000001,0.36079793750000005
Jiang Xi,Gan Zhou,114.940503372982,25.8351761034976,0.5,OD,III,9.904125000000002,0.36150056250000007
Guang Dong,Qing Yuan,113.062468325272,23.688230292088,1.0,OD,III,10.173624999999996,0.37133731249999985
Liao Ning,Da Lian,121.621631484592,38.9189536667856,1.0,Others,III,10.780000000000001,0.39347000000000004
An Hui,Huang Shan,118.147609824835,30.278650980188,0.24,Others,III,11.088000000000001,0.404712
Fu Jian,Quan Zhou,118.682446266804,24.8799523304983,0.25,Biofilm,III,11.1890625,0.40840078125
Yun Nan,Pu Dong,100.972569814727,22.8309791860102,0.75,SBR,III,11.466262500000003,0.4185185812500001
Liao Ning,Fu Shun,123.964374615614,41.8859695930569,0.2,Others,III,11.549999999999999,0.421575
Jiang Xi,Gan Zhou,114.940503372982,25.8351761034976,1.0,OD,III,11.682825000000001,0.42642311250000003
Guang Dong,Yun Fu,112.051512699591,22.9209119703428,0.2,Others,III,11.858,0.432817
Guang Dong,Yun Fu,112.051512699591,22.9209119703428,0.3,Others,III,12.243,0.4468695
Gui Zhou,Qian Xi Nan,104.912492146269,25.0939673494165,0.3,OD,III,12.329624999999998,0.45003131249999995
Gui Zhou,Tong Ren,109.196438898176,27.7377864564052,0.2,Others,III,12.474,0.455301
Hai Nan,Dan Zhou,109.587455835686,19.5271461100441,1.0,AAO,III,12.550999999999998,0.4581115
Shang Hai,Shang Hai,121.480538860176,31.235929042252,0.25,SBR,III,12.618375,0.46057068749999996
Guang Dong,Shao Guan,113.603527345622,24.815881278583,1.0,OD,III,12.80125,0.467245625
Shan Xi,Chang Zhi,113.122558869849,36.2012683721548,0.3,AO,III,13.167000000000002,0.48059550000000006
Jiang Xi,Ji An,115.000510720012,27.1197268260704,0.5,OD,III,13.475,0.4918375
Fu Jian,San Ming,117.645521167821,26.2697365159918,0.8,Biofilm,III,13.475,0.4918375
Jiang Xi,Ji An,115.000510720012,27.1197268260704,0.2,OD,III,13.475,0.4918375
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.5,Biofilm,III,13.956249999999999,0.509403125
Jiang Su,Su Zhou,120.592412229593,31.3035640744417,0.14,AAO,III,14.014000000000001,0.511511
Jiang Xi,Nan Chang,115.864589442316,28.6894552950607,1.5,OD,III,14.755124999999994,0.5385620624999998
Liao Ning,Fu Shun,123.964374615614,41.8859695930569,0.1,Others,III,14.784000000000002,0.5396160000000001
Fu Jian,Nan Ping,118.087351025977,27.3891049878985,0.5,OD,III,14.8225,0.54102125
Shan Xi,Xin Zhou,112.740624160238,38.4223833851777,0.12,SBR,III,14.83482,0.54147093
Guang Dong,Yun Fu,112.051512699591,22.9209119703428,0.3,OD,III,14.957249999999998,0.5459396249999999
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.3,AAO,III,15.015,0.5480475
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.3,AO,III,15.015,0.5480475
Jiang Xi,Gan Zhou,114.940503372982,25.8351761034976,1.0,OD,III,15.092000000000002,0.5508580000000001
Hai Nan,Dan Zhou,109.587455835686,19.5271461100441,1.4,SBR,III,15.975959999999995,0.5831225399999999
Guang Dong,Hui Zhou,114.423558016581,23.1163588547255,0.15,Others,III,16.401,0.5986365
Jiang Xi,Jiu Jiang,115.960661240304,29.6666608479994,1.0,OD,III,16.84375,0.614796875
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.25,AAO,III,17.517500000000002,0.6393887500000001
Fu Jian,Fu Zhou,119.30346983854,26.080429420698,1.5,OD,III,17.6859375,0.6455367187500001
Jiang Xi,Ji An,115.000510720012,27.1197268260704,0.3,OD,III,17.787,0.6492254999999999
Hai Nan,Dan Zhou,109.587455835686,19.5271461100441,1.5,SBR,III,18.104625,0.6608188125
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.2,Biofilm,III,18.2875,0.6674937500000001
Hai Nan,Dan Zhou,109.587455835686,19.5271461100441,0.7,OD,III,18.393375,0.6713581875
Guang Dong,Fo Shan,113.128512195497,23.0277587507889,0.5,OD,III,18.528125000000003,0.6762765625000001
Shang Hai,Shang Hai,121.480538860176,31.235929042252,0.25,SBR,III,19.7505,0.72089325
Guang Dong,Guang Zhou,113.271431344459,23.135336306695,2.5,AAO,II,19.827499999999997,0.7237037499999999
Yun Nan,De Hong,98.5913593561141,24.4380107027581,0.5,OD,III,19.875625,0.7254603125
Liao Ning,Da Lian,121.621631484592,38.9189536667856,2.0,Others,II,20.02,0.73073
Fu Jian,San Ming,117.645521167821,26.2697365159918,0.4,Others,III,20.02,0.73073
Jiang Xi,Ping Xiang,113.893696554071,27.6647525479511,0.75,OD,III,20.7178125,0.75620015625
Jiang Su,Nan Jing,118.802421721245,32.0646528856184,2.0,AAO,II,20.944000000000003,0.7644560000000001
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.2,Others,III,21.560000000000002,0.7869400000000001
Jiang Xi,Ping Xiang,113.893696554071,27.6647525479511,1.5,AAO,III,21.598500000000005,0.7883452500000002
Jiang Xi,Fu Zhou,116.364538768643,27.9548922534195,0.75,OD,III,21.7284375,0.79308796875
Hai Nan,Dan Zhou,109.587455835686,19.5271461100441,1.5,OD,III,21.829499999999996,0.7967767499999998
Guang Dong,Fo Shan,113.128512195497,23.0277587507889,1.0,OD,III,22.166375000000002,0.8090726875000002
An Hui,Chi Zhou,117.502082005702,30.6805419637151,0.3,Others,III,22.407000000000004,0.8178555000000001
Gui Zhou,Qian Xi Nan,104.912492146269,25.0939673494165,0.5,OD,III,22.570624999999996,0.8238278124999999
Bei Jing,Bei Jing,116.413383697123,39.9109245472995,0.36,MBR,III,22.889789999999998,0.835477335
Fu Jian,Nan Ping,118.087351025977,27.3891049878985,0.5,OD,III,23.244374999999998,0.8484196875
Shan Dong,Wei Fang,119.168377911428,36.7126515512675,0.08,AAO,III,23.284800000000004,0.8498952000000001
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.3,AAO,III,23.793,0.8684445
Gui Zhou,Qian Dong Nan,107.989446240778,26.589702969826,0.3,Biofilm,III,24.110625,0.8800378124999999
Yun Nan,Hong He,103.381549052579,23.3699962476054,0.5,SBR,III,24.1395,0.8810917500000002
Yun Nan,Hong He,103.381549052579,23.3699962476054,0.5,SBR,III,24.1395,0.8810917500000002
Guang Dong,Jiang Men,113.08855619524,22.584603880965,0.3,Others,III,24.255000000000003,0.8853075
Hu Nan,Zhang Jia Jie,110.485532546954,29.1228155625518,2.0,OD,II,25.33299999999999,0.9246544999999996
Gui Zhou,Qian Dong Nan,107.989446240778,26.589702969826,0.3,OD,III,25.669874999999998,0.9369504374999998
Jiang Su,Su Zhou,120.592412229593,31.3035640744417,0.5,AAO,III,25.794999999999998,0.9415174999999999
