site,capacity_1e3_m3d,process
N001,30,AAO-MBR
N002,70,AAO
N003,60,OD
N004,90,AAO
N005,200,AAO
N006,240,AAO
N007,300,AAO-MBR
N008,300,BAF
N009,5,AAO
N010,100,AAO-MBR
N011,200,AAO
N012,80,AAO
N013,670,AAO
N014,80,Other
N015,90,Other
N016,100,AAO
N017,95,AO
N018,85,AAO
N019,1,Other
N020,8,AAO
N021,80,AAO-MBR
N022,50,OD
S001,20,AAO-MBR
S002,10,AAO
S003,80,Other
S004,200,AAO-MBR
S005,20,AAO
S006,50,AAO
S007,50,AAO
S008,150,Other
S009,70,AO
S010,20,BAF
S011,400,BAF
S012,1000,AAO
S013,50,AAO
S014,50,AAO
S015,250,AAO
S016,150,Other
S017,50,AAO
S018,30,AO
S019,400,AAO
S020,80,AAO
S021,20,AAO
Z001,50,AAO
Z002,5,AO
Z003,120,AAO
Z004,30,AAO
Z005,60,BAF
Z006,80,OD
Z007,20,OD
Z008,100,AAO
Z009,250,AO
Z010,50,AO
Z011,60,AAO
Z012,20,OD
Z013,75,AO
X001,200,AAO
X002,150,OD
X003,200,AAO
X004,40,AAO
X005,60,AAO-MBR
X006,50,Other
X007,25,AAO-MBR
X008,100,AO
X009,300,AAO-MBR
X010,400,AAO
X011,80,OD
X012,100,AAO
X013,100,AAO
X014,45,Other
X015,100,AAO-MBR
X016,50,OD
X017,80,Other
X018,100,OD
X019,260,AAO-MBR
X020,200,AO
X021,50,AAO
X022,500,AAO
X023,100,AAO-MBR
G001,60,AAO
G002,70,AO
G003,180,AAO
G004,20,Other
G005,50,Other
G006,280,AAO
G007,80,AAO
G008,40,AO
G009,40,Other
G010,20,OD
G011,10,AAO
G012,10,AAO
G013,50,AAO-MBR
G014,70,AAO
G015,50,Other
G016,70,Other
G017,20,Other
G018,120,AAO-MBR
G019,10,AAO-MBR
G020,220,AAO
G021,50,AAO
G022,130,AAO
G023,20,AAO
G024,130,AAO-MBR
G025,120,AAO
G026,600,AAO
